Skeleton_ID,Skeleton_Comment,Node_ID,X,Y,Z,Radius,Node_Comment,index,From_Soma?,Branch_node?,End_node?,Dendrite_Level,Euclidean_Distance_From_Soma,Sholl_Classification,Parent_ID
133,,16731,25638,3457,1335,5.37477,.,11578,.,.,.,tertiary,661.9373082097729,Apical,16730
133,,16732,25625,3394,1336,2.592,.,11579,.,.,.,tertiary,706.5026539228285,Apical,16731
133,,16733,25626,3341,1335,3.73248,.,11580,.,.,.,tertiary,751.5430792709092,Apical,16732
133,,16734,25636,3302,1342,2.16,.,11581,.,.,.,tertiary,791.113771843216,Apical,16733
133,,16735,25640,3233,1336,2.16,.,11582,.,.,.,tertiary,851.927226939015,Apical,16734
133,,16736,25650,3190,1336,2.592,.,11583,.,.,.,tertiary,894.2868667267791,Apical,16735
133,,16737,25646,3148,1332,3.73248,.,11584,.,.,.,tertiary,929.4541408805493,Apical,16736
133,,16738,25633,3074,1308,2.16,.,11585,.,.,.,tertiary,988.3531757423558,Apical,16737
133,,16739,25629,2974,1293,2.16,.,11586,.,.,yes,tertiary,1078.1145579204465,Apical,16738
133,,16740,25628,3877,1293,3.73248,.,11587,.,.,.,secondary,393.3916623417431,Basal,11851
133,,16741,25677,3875,1295,3.73248,.,11588,.,.,.,secondary,440.09317195339446,Basal,16740
133,,16742,25698,3866,1295,4.47898,.,11589,.,yes,.,tertiary,462.05410938547016,Basal,16741
133,,16743,25733,3865,1258,2.16,.,11590,.,.,.,tertiary,488.6563209455087,Basal,16742
133,,16744,25744,3844,1220,2.592,.,11591,.,.,.,tertiary,500.7444458004502,Basal,16743
133,,16745,25751,3779,1158,2.16,.,11592,.,.,yes,tertiary,528.8525314300764,Basal,16744
133,,16746,25761,3895,1298,2.592,.,11593,.,.,.,tertiary,516.5781644630365,Basal,16742
133,,16747,25808,3886,1307,7.73967,.,11594,.,yes,.,quaternary,565.2486178665101,Basal,16746
133,,16748,25869,3930,1312,2.592,.,11595,.,.,.,quaternary,619.8467552548775,Basal,16747
133,,16749,25935,3967,1342,1.728,.,11596,.,.,yes,quaternary,688.6312511061344,Basal,16748
133,,16750,25836,3899,1281,3.1104,.,11597,.,.,yes,quaternary,585.5672463517747,Basal,16747
133,,16751,25249,3846,1289,3.1104,.,11598,yes,.,.,primary,170.8654441366071,Basal,11823
133,,16752,25263,3743,1360,2.16,.,11599,.,.,.,primary,295.2710619075293,Basal,16751
133,,16753,25283,3696,1394,3.73248,.,11600,.,.,.,primary,353.7880721561992,Basal,16752
133,,16754,25299,3632,1394,3.73248,.,11601,.,.,.,primary,408.48745390770574,Basal,16753
133,,16755,25324,3605,1402,2.592,.,11602,.,.,.,primary,438.4974344280705,Basal,16754
133,,16756,25355,3565,1405,5.37477,.,11603,.,.,.,primary,479.6811440946996,Basal,16755
133,,16757,25384,3541,1414,1.5,.,11604,.,.,.,primary,510.7249749131131,Basal,16756
133,,16758,25396,3504,1414,3.1104,.,11605,.,yes,.,secondary,545.8397200644159,Basal,16757
133,,16759,25412,3494,1420,2.16,.,11606,.,.,.,secondary,561.1140703992371,Basal,16758
133,,16760,25431,3467,1415,2.16,.,11607,.,.,yes,secondary,587.9404731773448,Basal,16759
133,,16761,25393,3469,1438,2.16,.,11608,.,.,.,secondary,585.9496565405598,Apical,16758
133,,16762,25361,3396,1438,2.16,.,11609,.,.,.,secondary,645.3510672494468,Apical,16761
133,,16763,25352,3372,1438,2.16,.,11610,.,yes,.,tertiary,666.0067567224825,Apical,16762
133,,16764,25321,3348,1434,2.16,.,11611,.,.,.,tertiary,683.3666658536982,Apical,16763
