Skeleton ID,Skeleton Comment,Node ID,X,Y,Z,Radius,Node Comment
,,10558,11125,8871,1327,6.44972,.
,,10559,11129,9054,1228,6.44972,.
,,10560,11141,9208,1109,7.73967,.
,,10561,11115,9331,1050,6.44972,.
,,10562,11109,9441,1006,6.44972,.
,,10563,11121,9548,952,6.44972,.
,,10564,11109,9639,911,4.47898,.
,,10565,11093,9703,856,4.47898,.
,,10566,11106,8499,1588,5.37477,.
,,10567,11106,8652,1606,5.37477,.
,,10568,11090,8938,1523,6.44972,.
,,10569,11074,9087,1475,7.73967,.
,,10570,11082,9135,1461,4.47898,.
,,10571,11066,9224,1437,7.73967,.
,,10572,11053,9283,1407,7.73967,.
,,10573,11069,9349,1349,7.73967,.
,,10574,11916,7821,1231,8.9161,.
,,10575,11866,7611,1213,13.3741,.
,,10576,11833,7428,1240,11.1451,.
,,10577,11843,7224,1349,11.1451,.
,,10578,11886,7126,1357,9.2876,.
,,10579,11942,6907,1401,16.049,.
,,10580,11952,6859,1403,13.3741,.
,,10581,11970,6777,1391,7.73967,.
,,10582,12009,6699,1377,7.73967,.
,,10583,12053,6616,1351,9.2876,.
,,10584,12149,6398,1331,7.73967,.
,,10585,12184,6342,1365,7.73967,.
,,10586,12259,6282,1377,5.37477,.
,,10587,12310,6171,1369,7.73967,.
,,10588,12389,6063,1327,16.049,.
,,10589,12429,5994,1283,11.1451,.
,,10590,12485,5922,1237,7.73967,.
,,10591,12518,5832,1215,9.2876,.
,,10592,12558,5779,1177,9.2876,.
,,10593,12602,5661,1175,6.44972,.
,,10594,12612,5573,1159,9.2876,.
,,10595,12641,5479,1147,9.2876,.
,,10596,12658,5444,1149,7.73967,.
,,10597,12672,5355,1139,7.73967,.
,,10598,12672,5294,1147,7.73967,.
,,10599,12679,5231,1125,7.73967,.
,,10600,11968,6796,1427,7.73967,.
,,10601,11989,6726,1467,7.73967,.
,,10602,12023,6677,1485,5.37477,.
,,10603,12060,6640,1507,9.2876,.
,,10604,12098,6615,1545,7.73967,.
,,10605,12180,6507,1679,7.73967,.
,,10606,12203,6460,1707,6.44972,.
,,10607,12234,6423,1741,9.2876,.
,,10608,12266,6382,1779,7.73967,.
,,10609,11826,7203,1389,6.44972,.
,,10610,11821,7180,1493,5.37477,.
,,10611,11810,7145,1553,6.44972,.
,,10612,11805,7126,1623,6.44972,.
,,10613,11803,7098,1723,4.47898,.
,,10614,11801,7076,1778,5.37477,.
,,10615,11819,7338,1210,9.2876,.
,,10616,11808,7149,1128,7.73967,.
,,10617,11786,7040,1012,11.1451,.
,,10618,11811,6966,946,9.2876,.
,,10619,11825,6830,836,9.2876,.
,,10620,11860,6783,808,8.9161,.
,,10621,11892,6737,784,11.1451,.
,,10622,11942,6661,740,7.73967,.
,,10623,11980,6608,702,9.2876,.
,,10624,12035,6563,640,9.2876,.
,,10625,12085,6495,604,7.73967,.
,,10626,12113,6434,578,7.73967,.
,,10627,12159,6328,554,11.1451,.
,,10628,12189,6266,554,6.44972,.
,,10629,12245,6183,504,7.73967,.
,,10630,12288,6125,480,4.47898,.
,,10631,11802,6737,790,5.37477,.
,,10632,11802,6691,744,6.44972,.
,,10633,11794,6633,689,6.44972,.
,,10634,12076,8304,1111,19.2588,.
,,10635,12191,8524,1085,16.049,.
,,10636,12321,8944,1189,7.73967,.
,,10637,12319,8976,1221,6.44972,.
,,10638,12343,9089,1253,5.37477,.
,,10639,12381,9197,1295,6.44972,.
,,10640,12428,9348,1325,9.2876,.
,,10641,12436,9525,1420,7.73967,.
,,10642,12534,9756,1536,6.44972,.
,,10643,12632,9892,1581,6.44972,.
,,10644,12738,10163,1673,6.44972,.
,,10645,12736,10255,1784,3.73248,.
,,10646,12760,10181,1677,3.1104,.
,,10647,12786,10227,1680,6.44972,.
,,10648,12814,10292,1691,6.44972,.
,,10649,12842,10343,1697,9.2876,.
,,10650,12870,10377,1723,7.73967,.
,,10651,12910,10445,1743,7.73967,.
,,10652,12936,10511,1761,7.73967,.
,,10653,12978,10565,1778,9.2876,.
,,10654,12384,9002,1161,6.44972,.
,,10655,12454,9030,1091,6.44972,.
,,10656,12519,8998,1065,6.44972,.
,,10657,12588,8965,1029,6.44972,.
,,10658,12654,8965,1003,6.44972,.
,,10659,12754,8969,948,11.1451,.
,,10660,12816,8999,897,7.73967,.
,,10661,12867,9053,897,9.2876,.
,,10662,13038,9234,897,7.73967,.
,,10663,13111,9328,907,6.44972,.
,,10664,13162,9421,917,6.44972,.
,,10665,13204,9461,951,7.73967,.
,,10666,13277,9587,1023,6.44972,.
,,10667,13397,9776,1007,9.2876,.
,,10668,13441,9852,979,6.44972,.
,,10669,13479,9901,929,11.1451,.
,,10670,13534,9953,849,9.2876,.
,,10671,12318,8589,1117,9.2876,.
,,10672,12507,8719,1191,7.73967,.
,,10673,12580,8750,1263,7.73967,.
,,10674,12630,8769,1347,9.2876,.
,,10675,12704,8858,1447,9.2876,.
,,10676,12760,8930,1531,9.2876,.
,,10677,12810,8990,1583,7.73967,.
,,10678,12865,9077,1641,6.44972,.
,,10679,12908,9242,1641,7.73967,.
,,10680,12937,9360,1633,6.44972,.
,,10681,12953,9414,1653,3.73248,.
,,10682,12998,9455,1685,6.44972,.
,,10683,13077,9496,1715,6.44972,.
,,10684,13130,9533,1737,7.73967,.
,,10685,13226,9590,1767,6.44972,.
